Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Housing Index,1985-10-31T00:00:00,38.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-11-30T00:00:00,39.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-12-31T00:00:00,39.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-01-31T00:00:00,39.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-02-28T00:00:00,40.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-03-31T00:00:00,40.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-04-30T00:00:00,40.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-05-31T00:00:00,41.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-06-30T00:00:00,41.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-07-31T00:00:00,41.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-08-31T00:00:00,42,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-09-30T00:00:00,42.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-10-31T00:00:00,43.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-11-30T00:00:00,43.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-12-31T00:00:00,44,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-01-31T00:00:00,44.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-02-28T00:00:00,45.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-03-31T00:00:00,46.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-04-30T00:00:00,47.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-05-31T00:00:00,47.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-06-30T00:00:00,47.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-07-31T00:00:00,48,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-08-31T00:00:00,48.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-09-30T00:00:00,48.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-10-31T00:00:00,48.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-11-30T00:00:00,49.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-12-31T00:00:00,49.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-01-31T00:00:00,49.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-02-29T00:00:00,49.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-03-31T00:00:00,50.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-04-30T00:00:00,51.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-05-31T00:00:00,51.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-06-30T00:00:00,52.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-07-31T00:00:00,52.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-08-31T00:00:00,53,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-09-30T00:00:00,53.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-10-31T00:00:00,54.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-11-30T00:00:00,55,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1988-12-31T00:00:00,55.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-01-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-02-28T00:00:00,57.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-03-31T00:00:00,58.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-04-30T00:00:00,59.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-05-31T00:00:00,59.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-06-30T00:00:00,59.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-07-31T00:00:00,59.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-08-31T00:00:00,59.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-09-30T00:00:00,60.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-10-31T00:00:00,60.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-11-30T00:00:00,60.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1989-12-31T00:00:00,61.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-01-31T00:00:00,61.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-02-28T00:00:00,61.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-03-31T00:00:00,61.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-04-30T00:00:00,61.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-05-31T00:00:00,61.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-06-30T00:00:00,60.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-07-31T00:00:00,60.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-08-31T00:00:00,59.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-09-30T00:00:00,59,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-10-31T00:00:00,58.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-11-30T00:00:00,58,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1990-12-31T00:00:00,57.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-01-31T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-02-28T00:00:00,55.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-03-31T00:00:00,56,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-04-30T00:00:00,55.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-05-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-06-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-07-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-08-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-09-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-10-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-11-30T00:00:00,55.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1991-12-31T00:00:00,55.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-01-31T00:00:00,55.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-02-29T00:00:00,55.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-03-31T00:00:00,55.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-04-30T00:00:00,56,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-05-31T00:00:00,56,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-06-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-07-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-08-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-09-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-10-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-11-30T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1992-12-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-01-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-02-28T00:00:00,56.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-03-31T00:00:00,56.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-04-30T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-05-31T00:00:00,56.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-06-30T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-07-31T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-08-31T00:00:00,57.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-09-30T00:00:00,57.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-10-31T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-11-30T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1993-12-31T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-01-31T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-02-28T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-03-31T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-04-30T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-05-31T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-06-30T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-07-31T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
