Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Households Debt To Income,2003-09-30T00:00:00,113.48,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2003-12-31T00:00:00,115.43,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,2004-03-31T00:00:00,116.11,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2004-06-30T00:00:00,119.28,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2004-09-30T00:00:00,120.77,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2004-12-31T00:00:00,122.12,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2005-03-31T00:00:00,123.55,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2005-06-30T00:00:00,126.09,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2005-09-30T00:00:00,128.23,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2005-12-31T00:00:00,129.58,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2006-03-31T00:00:00,129.43,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2006-06-30T00:00:00,131.27,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2006-09-30T00:00:00,133.13,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2006-12-31T00:00:00,134.54,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2007-03-31T00:00:00,135.71,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2007-06-30T00:00:00,138.7,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2007-09-30T00:00:00,141.11,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2007-12-31T00:00:00,142.42,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2008-03-31T00:00:00,144.13,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2008-06-30T00:00:00,146.31,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2008-09-30T00:00:00,147.12,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2008-12-31T00:00:00,147.36,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2009-03-31T00:00:00,147.5,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2009-06-30T00:00:00,150.56,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2009-09-30T00:00:00,153.49,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2009-12-31T00:00:00,155.65,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2010-03-31T00:00:00,154.43,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2010-06-30T00:00:00,156.2,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2010-09-30T00:00:00,157.35,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2010-12-31T00:00:00,157.71,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2011-03-31T00:00:00,156.49,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2011-06-30T00:00:00,157.81,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2011-09-30T00:00:00,158.55,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2011-12-31T00:00:00,158.96,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2012-03-31T00:00:00,157.96,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2012-06-30T00:00:00,159.16,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2012-09-30T00:00:00,159.86,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2012-12-31T00:00:00,159.66,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2013-03-31T00:00:00,159.15,Quarterly,CANADAHDTI,2020-09-22T10:14:00
